Unnamed: 0,tconst,title,movie_budget,movie_homepage,movie_api_id,movie_origin_country,movie_original_language,movie_original_title,movie_overview,movie_popularity,movie_poster_path_1,movie_release_date,movie_revenue,movie_tagline,movie_vote_average_tmdb,movie_vote_count_tmdb,movie_startYear,movie_runtimeMinutes,movie_genres_y,movie_averageRating_tmdb,movie_numVotes,collection_movie_id,collection_movie_name,genre_id_1,genres_x_1,genre_id_2,genres_x_2,genre_id_3,genres_x_3,genre_id_4,genres_x_4,genre_id_5,genres_x_5,production_logo_path_1,production_companies_name_1,production_companies_1_origin_country,production_1_iso,production_1_countries_code,production_1_countries_name,id_x,key,youtube_url,id_y,keywords,movie_overview_fr,movie_tagline_fr,movie_poster_path_fr,movie_poster_url_fr,trailer_url_fr
0,tt0080339,Y a-t-il un pilote dans l'avion ?,3500000,,813,US,en,Airplane!,An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.,"6,3491",https://image.tmdb.org/t/p/w600_and_h900_face/7Q3efxd3AF1vQjlSxnlerSA7RzN.jpg,"1980-06-27 00:00:00,000",83453539,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?","7,31",4842,1980,88,Comedy,"7,7",281149,91663.0, Airplane Collection,35, Comedy,,,,,,,,, /jay6WcMgagAklUt7i9Euwj1pzTF.png, Paramount Pictures, US,iso_3166_1, US, United States of America,813,UnPDh21G-jc,https://www.youtube.com/watch?v=UnPDh21G-jc,813,"[{'id': 520, 'name': 'chicago, illinois'}, {'id': 447, 'name': 'post-traumatic stress disorder (ptsd)'}, {'id': 3800, 'name': 'airplane'}, {'id': 843, 'name': 'cataclysm'}, {'id': 745, 'name': 'nun'}, {'id': 953, 'name': 'guitar'}, {'id': 567, 'name': 'alcohol'}, {'id': 2080, 'name': 'stewardess'}, {'id': 1749, 'name': 'taxi driver'}, {'id': 1757, 'name': 'passenger'}, {'id': 4544, 'name': 'fear of flying'}, {'id': 3203, 'name': 'pilot'}, {'id': 1279, 'name': 'medicine'}, {'id': 4545, 'name': 'air controller'}, {'id': 4547, 'name': 'landing'}, {'id': 2007, 'name': 'saxophone'}, {'id': 4548, 'name': 'autopilot'}, {'id': 9755, 'name': 'parody'}, {'id': 11931, 'name': 'spoof'}, {'id': 10960, 'name': 'food poisoning'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 15237, 'name': 'alcohol abuse'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 189411, 'name': 'disaster movie'}, {'id': 230453, 'name': 'inflatable life raft'}, {'id': 236316, 'name': 'anarchic comedy'}]","Ted Striker, un ancien pilote de chasse pendant la guerrea du Vietnam est devenu un vétéran traumatisé. Ayant perdu son escadrille six ans auparavant dans un raid désastreux au cours de la guerre, Ted, traumatrisé, se sent depuis coupable et est incapable de piloter à nouveau. Elaine Dickinson, sa fiancée, hôtesse de l'air, décide de le quitter avant d'aller prendre son service sur le vol Los Angeles-Chicago de la compagnie Trans-American Airlines. Ted achete un billet sur le vol d'Elaine, dans l'espoir de la convaincre de lui donner une dernière chance. Quand une intoxication alimentaire rend malade les passagers et les membres de l'équipage qui ont consommé du poisson, l'avion se retrouve alors sans pilote...","Dieu merci, ce n'est qu'un film !",/7pH55GUezP1isKGo16ehbmRB1pK.jpg,https://image.tmdb.org/t/p/w500/7pH55GUezP1isKGo16ehbmRB1pK.jpg,https://www.youtube.com/watch?v=UnPDh21G-jc
1,tt0080684,L'Empire contre-attaque,18000000,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,1891,US,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","6,6255",https://image.tmdb.org/t/p/w600_and_h900_face/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,"1980-05-20 00:00:00,000",538400000,The Star Wars saga continues.,"8,4",17841,1980,124,"Action,Adventure,Fantasy","8,7",1472463,10.0, Star Wars Collection,12, Adventure,28.0, Action,878.0, Science Fiction,,,,, /tlVSws0RvvtPBwViUyOFAO0vcQS.png, Lucasfilm Ltd., US,iso_3166_1, US, United States of America,1891,beg2pnU-0OU,https://www.youtube.com/watch?v=beg2pnU-0OU,1891,"[{'id': 11196, 'name': 'rebellion'}, {'id': 803, 'name': 'android'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 1423, 'name': 'asteroid'}, {'id': 526, 'name': 'rebel'}, {'id': 2902, 'name': 'space battle'}, {'id': 3373, 'name': 'snowstorm'}, {'id': 3388, 'name': 'space colony'}, {'id': 4551, 'name': 'swamp'}, {'id': 161176, 'name': 'space opera'}, {'id': 164246, 'name': 'nostalgic'}, {'id': 244265, 'name': 'artic'}, {'id': 325811, 'name': 'excited'}, {'id': 358242, 'name': 'star wars'}]","Malgré la destruction de l’Étoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales. Parvenus à s'échapper, la princesse Leia, Han Solo, Chewbacca et C-3P0 se dirigent vers Bespin, la cité des nuages gouvernée par Lando Calrissian, ancien compagnon de Han. Suivant les instructions d'Obi-Wan Kenobi, Luke Skywalker se rend quant à lui vers le système de Dagobah, planète marécageuse où il doit recevoir l'enseignement du dernier maître Jedi, Yoda. Apprenant l'arrestation de ses compagnons par les stormtroopers de Dark Vador après la trahison de Lando, Luke décide d'interrompre son entraînement pour porter secours à ses amis et affronter le sombre seigneur Sith...",La Guerre des Étoiles continue…,/8DmFxgQOPJ0QnAG1pB1PvjySI9b.jpg,https://image.tmdb.org/t/p/w500/8DmFxgQOPJ0QnAG1pB1PvjySI9b.jpg,https://www.youtube.com/watch?v=mdrcnZNXmTM
2,tt0080889,Jeux d'espions,0,,32030,US,en,Hopscotch,"When CIA operative Miles Kendig deliberately lets KGB agent Yaskov get away, his boss threatens to retire him. Kendig beats him to it, however, destroying his own records and traveling to Austria where he begins work on a memoir that will expose all his former agency's covert practices. The CIA catches wind of the book and sends other agents after him, initiating a frenetic game of cat and mouse that spans the globe.","6,3884",https://image.tmdb.org/t/p/w600_and_h900_face/7ZTasNoTehrypra0X97zh8Amk3.jpg,"1980-09-26 00:00:00,000",0,"The most dangerous man in the world. He's about to expose the CIA, the FBI, the KGB ... and himself.",7,171,1980,106,"Adventure,Comedy","7,1",9796,,,35, Comedy,12.0, Adventure,,,,,,, None, Connelly Associates, US,iso_3166_1, US, United States of America,32030,NX-TqWefqRQ,https://www.youtube.com/watch?v=NX-TqWefqRQ,32030,"[{'id': 591, 'name': 'central intelligence agency (cia)'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 392, 'name': 'england'}, {'id': 74, 'name': 'germany'}, {'id': 470, 'name': 'spy'}, {'id': 1812, 'name': 'fbi'}, {'id': 3278, 'name': 'kgb'}, {'id': 1201, 'name': 'austria'}, {'id': 4948, 'name': 'retirement'}]","Miles Kendig, un des meilleurs agents de terrain de la CIA, jugé trop vieux par son patron, se voit affecté dans les bureaux pour la fin de sa carrière. Refusant cette mise à l'écart, Kendig détruit son dossier et s'enfuit en Autriche où il décide de publier ses mémoires, révélant de nombreux secrets concernant la CIA. Entre l'Autriche, les États-Unis et l'Angleterre, une immense chasse à l'homme s'engage, orchestrée par Kendig lui-même...",,/bJsjyqBIbRK9Vwo2v2o5fed1sss.jpg,https://image.tmdb.org/t/p/w500/bJsjyqBIbRK9Vwo2v2o5fed1sss.jpg,https://www.youtube.com/watch?v=NX-TqWefqRQ
3,tt0081505,Shining,19000000,https://www.warnerbros.com/movies/shining,694,US,en,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","12,0283",https://image.tmdb.org/t/p/w600_and_h900_face/sNWdOLae80AdQkD1NpvcDN5f3PB.jpg,"1980-05-23 00:00:00,000",44781695,A masterpiece of modern horror.,"8,2",18351,1980,146,"Drama,Horror","8,4",1194498,530064.0, The Shining Collection,27, Horror,53.0, Thriller,,,,,,, /ingPVoHnINIrFR7WHmYux1f5pES.png, Warner Bros. Pictures, US,iso_3166_1, GB, United Kingdom,694,PC-OdRbIKDU,https://www.youtube.com/watch?v=PC-OdRbIKDU,694,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 516, 'name': 'child abuse'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1533, 'name': 'isolation'}, {'id': 1475, 'name': 'telepathy'}, {'id': 6262, 'name': 'delusion'}, {'id': 3335, 'name': 'halloween'}, {'id': 3373, 'name': 'snowstorm'}, {'id': 1981, 'name': 'colorado'}, {'id': 3556, 'name': 'seclusion'}, {'id': 9887, 'name': 'surrealism'}, {'id': 5914, 'name': ""writer's block""}, {'id': 7464, 'name': 'alcoholism'}, {'id': 10170, 'name': 'premonition'}, {'id': 9815, 'name': 'psychic power'}, {'id': 10241, 'name': 'caretaker'}, {'id': 9957, 'name': 'loneliness'}, {'id': 10629, 'name': 'vision'}, {'id': 11925, 'name': 'domestic violence'}, {'id': 12191, 'name': 'postmodern'}, {'id': 12565, 'name': 'psychological thriller'}, {'id': 13028, 'name': 'writer'}, {'id': 15016, 'name': 'twins'}, {'id': 18129, 'name': 'labyrinth'}, {'id': 33457, 'name': 'alcoholic'}, {'id': 156783, 'name': 'blizzard'}, {'id': 157512, 'name': 'mutilation'}, {'id': 158261, 'name': 'bloody body of child'}, {'id': 163558, 'name': 'extrasensory perception'}, {'id': 164494, 'name': 'uxoricide'}, {'id': 176227, 'name': 'motherhood'}, {'id': 185135, 'name': 'filicide'}, {'id': 190107, 'name': 'snowed in'}, {'id': 192865, 'name': 'burial ground'}, {'id': 193479, 'name': 'hypothermia'}, {'id': 196986, 'name': 'haunted hotel'}, {'id': 199079, 'name': 'psychological disintegration'}, {'id': 201456, 'name': 'paranoid'}, {'id': 207973, 'name': 'afi'}, {'id': 208759, 'name': 'pediatrician'}, {'id': 217420, 'name': 'repetition'}, {'id': 240237, 'name': 'mother son relationship'}, {'id': 244530, 'name': 'malicious'}, {'id': 251513, 'name': 'supernatural power'}, {'id': 251667, 'name': 'anxious'}, {'id': 252123, 'name': 'new year'}, {'id': 256183, 'name': 'supernatural horror'}, {'id': 256908, 'name': 'ghost child'}, {'id': 259982, 'name': 'psychotronic film'}, {'id': 261264, 'name': 'dreary'}, {'id': 278689, 'name': 'cabin fever'}, {'id': 295907, 'name': 'psychological horror'}, {'id': 305648, 'name': 'deal with the devil'}, {'id': 306351, 'name': 'nuclear family'}, {'id': 308818, 'name': 'avant garde'}, {'id': 314730, 'name': 'suspenseful'}, {'id': 318862, 'name': ""new year's party""}, {'id': 321873, 'name': 'identical twins'}]","Jack Torrance, gardien d’un hôtel fermé l’hiver, sa femme et son fils Danny s’apprêtent à vivre de longs mois de solitude. Danny, qui possède un don de médium, le «Shining», est effrayé à l’idée d’habiter ce lieu, théâtre marqué par de terribles événements passés…",Un tiens vaut mieux que deux tu l’auras.,/cnniZQGtjK8kh2tsjih4GtkX6bl.jpg,https://image.tmdb.org/t/p/w500/cnniZQGtjK8kh2tsjih4GtkX6bl.jpg,https://www.youtube.com/watch?v=DL_GjZglYz8
4,tt0081554,Stardust Memories,10000000,,11337,US,en,Stardust Memories,"While attending a retrospect of his work, a filmmaker recalls his life and his loves: the inspirations for his films.","6,4021",https://image.tmdb.org/t/p/w600_and_h900_face/y1EHgpL2hMVRcr6tIOy7VGLxaPs.jpg,"1980-09-26 00:00:00,000",10389003,Woody Allen in his most amusing and witty effort!,"6,9",451,1980,89,"Comedy,Drama","7,2",24884,,,35, Comedy,18.0, Drama,10749.0, Romance,,,,, None, Jack Rollins & Charles H. Joffe Productions, US,iso_3166_1, US, United States of America,11337,ThwMJkiTBDg,https://www.youtube.com/watch?v=ThwMJkiTBDg,11337,"[{'id': 886, 'name': 'movie business'}, {'id': 8608, 'name': 'violinist'}, {'id': 33490, 'name': 'filmmaking'}, {'id': 312677, 'name': 'existential crisis'}]","Sandy Bates, cinéaste, traverse une crise existentielle. Il ne supporte plus les exigences de ses admiratrices, ni les questions de l'intelligentsia new-yorkaise. Son déplacement à un festival consacré à son œuvre lui permet de faire un point sur son travail et sa vie. Woody Allen fait son « Huit et demi ».",Woody Allen dans son effort le plus amusant et le plus plein d'esprit !,/cf507FZyxK4aFFqgNaVFPLSeIM.jpg,https://image.tmdb.org/t/p/w500/cf507FZyxK4aFFqgNaVFPLSeIM.jpg,https://www.youtube.com/watch?v=ThwMJkiTBDg
5,tt0082085,Blow Out,18000000,,11644,US,en,Blow Out,"While recording sound effects for a slasher flick, Jack Terry stumbles upon a real-life horror: a car careening off a bridge and into a river. Jack jumps into the water and fishes out Sally from the car, but the other passenger is already dead — a governor intending to run for president. As Jack does some investigating of his tapes, and starts a perilous romance with Sally, he enters a tangled web of conspiracy that might leave him dead.","8,1375",https://image.tmdb.org/t/p/w600_and_h900_face/weMW1wLzeagP3tw6BfmYf1iL7dz.jpg,"1981-07-24 00:00:00,000",12000000,Murder has a sound all of its own.,"7,4",1592,1981,108,"Crime,Drama,Mystery","7,4",73303,,,53, Thriller,9648.0, Mystery,80.0, Crime,,,,, None, Cinema 77,,iso_3166_1, US, United States of America,11644,dgWfyFgEsO8,https://www.youtube.com/watch?v=dgWfyFgEsO8,11644,"[{'id': 276, 'name': 'philadelphia, pennsylvania'}, {'id': 2708, 'name': 'hitman'}, {'id': 2946, 'name': 'presidential election'}, {'id': 6078, 'name': 'politics'}, {'id': 2380, 'name': 'audio tape'}, {'id': 2340, 'name': 'paranoia'}, {'id': 6151, 'name': 'faithlessness'}, {'id': 4881, 'name': 'yell'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 11335, 'name': 'tape recorder'}, {'id': 12570, 'name': 'whodunit'}, {'id': 13063, 'name': 'car accident'}, {'id': 154901, 'name': 'audio recording'}, {'id': 189430, 'name': 'sound effect'}, {'id': 207268, 'name': 'neo-noir'}, {'id': 267160, 'name': 'noise'}, {'id': 291153, 'name': 'grand'}]","Jack Terri est preneur de son et bruiteur. Il recherche un cri d’effroi pour un des films de série B sur lesquels il travaille. Une nuit, dans un parc, il enregistre la scène d’un tragique accident de voiture s’abîmant dans la rivière. Il saute à l’eau mais n’arrive à sauver qu'une femme, Sally, qui accompagnait un homme politique qui décède dans l’accident. En réécoutant la bande, Jack se rend compte qu’il s’agit d’un attentat et apprend par la presse qu’un photographe a saisi la scène sur film. Il va tenter de joindre sa bande-son aux images du photographe afin de révéler l’attentat.",Le meurtre a un son qui lui est propre !,/zgyVsJNBdFbUgUUPTWiYBenBTKq.jpg,https://image.tmdb.org/t/p/w500/zgyVsJNBdFbUgUUPTWiYBenBTKq.jpg,https://www.youtube.com/watch?v=OhjPbaFquIk
6,tt0082182,Chère inconnue,0,,66541,FR,fr,Chère inconnue,"A middle-aged disabled man unknowingly begins a lonely hearts correspondence with his own unmarried sister, who takes care of him. As he writes more and more to her, he begins to fall in love, and she, knowing that it is her brother who is writing, discovers a new, tender side to him. But trouble looms when he asks to meet her in person.","5,1987",https://image.tmdb.org/t/p/w600_and_h900_face/cysqoSkcnAK25gReI9anzYPTwyt.jpg,"1980-04-09 00:00:00,000",0,,"6,1",9,1980,112,"Drama,Romance","7,2",459,,,18, Drama,,,,,,,,, /gCHH1xt3dKjlm9NuMPF9ekpPWD6.png, France 3, FR,iso_3166_1, FR, France,66541,,,66541,[],"Louise, dévouée à son frère paraplégique, souffre cependant de sa solitude affective. Elle passe une petite annonce dans un journal local, mais c'est un frère qui, sans le savoir, lui répond.",,/cysqoSkcnAK25gReI9anzYPTwyt.jpg,https://image.tmdb.org/t/p/w500/cysqoSkcnAK25gReI9anzYPTwyt.jpg,
7,tt0082269,Jules,0,,4485,FR,fr,Diva,"Jules, a young Parisian postman, secretly records a concert performance given by the opera singer Cynthia Hawkins, whom he idolises. The following day, Jules runs into a woman who is being pursued by armed thugs. Before she is killed, the woman slips an audio cassette into his mail bag...","5,1753",https://image.tmdb.org/t/p/w600_and_h900_face/x5fOCdfv0lRdeI71qLFdNEKWDsc.jpg,"1981-03-11 00:00:00,000",2925889,Her voice was his calling.,"6,7",256,1981,117,"Crime,Drama,Music","7,1",15051,,,28, Action,18.0, Drama,53.0, Thriller,,,,, /aqWJRi66t2oMPMmC60CdK9I3WQd.png, France 2, FR,iso_3166_1, FR, France,4485,VCwqnPFzUBk,https://www.youtube.com/watch?v=VCwqnPFzUBk,4485,"[{'id': 90, 'name': 'paris, france'}, {'id': 2281, 'name': 'mistake in person'}, {'id': 1552, 'name': 'subway'}, {'id': 2992, 'name': 'diva'}, {'id': 4461, 'name': 'postman'}, {'id': 9008, 'name': 'moped'}, {'id': 10229, 'name': 'singer'}, {'id': 11734, 'name': 'police corruption'}, {'id': 159944, 'name': 'recording'}, {'id': 164920, 'name': 'opera singer'}, {'id': 193316, 'name': 'prostitution ring'}]",Un jeune postier amoureux du bel canto réalise un enregistrement pirate d'un concert donné par une diva. Sa passion et un hasard malencontreux vont provoquer une chasse à l'homme dont il est la proie.,,/toprlge6vv88sueBUm9m6TnccBD.jpg,https://image.tmdb.org/t/p/w500/toprlge6vv88sueBUm9m6TnccBD.jpg,https://www.youtube.com/watch?v=VCwqnPFzUBk
8,tt0082340,New York 1997,6000000,http://www.theofficialjohncarpenter.com/escape-from-new-york/,1103,US,en,Escape from New York,"In a world ravaged by crime, the entire island of Manhattan has been converted into a walled prison where brutal prisoners roam free. After the US president crash-lands inside, war hero Snake Plissken has 24 hours to bring him back.","6,2982",https://image.tmdb.org/t/p/w600_and_h900_face/vH9llaphjAssRGi0k7e75tD40Ce.jpg,"1981-05-23 00:00:00,000",50244700,"1997. New York City is a walled, maximum security prison. Breaking out is impossible. Breaking in is insane.","7,1",3373,1981,99,"Action,Adventure,Sci-Fi","7,1",169260,115838.0, Escape From ... Collection,878, Science Fiction,28.0, Action,,,,,,, /ioc65azmsAeL1XQN4dFnrpdJoMO.png, AVCO Embassy Pictures, US,iso_3166_1, GB, United Kingdom,1103,-CRIKLXvnBQ,https://www.youtube.com/watch?v=-CRIKLXvnBQ,1103,"[{'id': 242, 'name': 'new york city'}, {'id': 444, 'name': 'taxi'}, {'id': 779, 'name': 'martial arts'}, {'id': 542, 'name': 'street gang'}, {'id': 840, 'name': 'usa president'}, {'id': 1543, 'name': 'war veteran'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 1562, 'name': 'hostage'}, {'id': 2019, 'name': 'liberation of prisoners'}, {'id': 3149, 'name': 'gangster'}, {'id': 4565, 'name': 'dystopia'}, {'id': 2095, 'name': 'anti hero'}, {'id': 4458, 'name': 'post-apocalyptic future'}, {'id': 5970, 'name': 'wrestling'}, {'id': 3289, 'name': 'villain'}, {'id': 5034, 'name': 'attempt to escape'}, {'id': 11107, 'name': 'rescue mission'}, {'id': 4668, 'name': 'police operation'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 33556, 'name': 'urban setting'}, {'id': 217083, 'name': 'reluctant hero'}]","En 1997, Manhattan est devenu une immense prison ghetto où vivent, en micro-société, trois millions de prisonniers. Victime d’un attentat, l’avion du Président des États-Unis s’écrase en plein Manhattan avec des documents ultra-secrets. Snake, un dangereux criminel, est chargé, en échange de sa grâce, de partir à la recherche du Président. Parachuté dans Manhattan, il dispose de vingt-quatre heures pour mener à bien sa mission…",1997. New York est devenu un quartier de haute sécurité. S'en échapper est impossible. Y pénétrer est un acte de démence.,/wQTls3fikx8ezE2ue93wK1P7YuM.jpg,https://image.tmdb.org/t/p/w500/wQTls3fikx8ezE2ue93wK1P7YuM.jpg,https://www.youtube.com/watch?v=n86imTuzZXk
9,tt0082406,Rox et Rouky,12000000,http://movies.disney.com/the-fox-and-the-hound,10948,US,en,The Fox and the Hound,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!","7,3247",https://image.tmdb.org/t/p/w600_and_h900_face/aC3k6XBaYnulGSkK8263ABjU3Md.jpg,"1981-07-10 00:00:00,000",29800000,A story of two friends who didn't know they were supposed to be enemies.,"7,1",3379,1981,83,"Adventure,Animation,Drama","7,2",108362,100970.0, The Fox and the Hound Collection,12, Adventure,16.0, Animation,18.0, Drama,10751.0, Family,,, /vyyv4Gy9nPqAZKElPm2izLlEaVS.png, Walt Disney Productions, US,iso_3166_1, US, United States of America,10948,hbuIeTHh4To,https://www.youtube.com/watch?v=hbuIeTHh4To,10948,"[{'id': 6054, 'name': 'friendship'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 2527, 'name': 'fox'}, {'id': 3289, 'name': 'villain'}, {'id': 10683, 'name': 'coming of age'}, {'id': 15162, 'name': 'dog'}, {'id': 18165, 'name': 'animals'}, {'id': 33688, 'name': 'hunting'}, {'id': 167982, 'name': 'unlikely friendship'}, {'id': 208152, 'name': 'pets'}]","Un fougueux petit renard appelé Rox grandit aux côtés de Rouky, un adorable chiot de chasse. Les deux se promettent une amitié éternelle. Mais lorsque Rouky atteint l'âge de la chasse, leur entente non conventionnelle est mise à l'épreuve.",L'histoire de deux amis qui ne savaient pas qu'ils étaient censés être ennemis.,/nae2Fo3Ulpzy3uTGjsFiH9K9FMX.jpg,https://image.tmdb.org/t/p/w500/nae2Fo3Ulpzy3uTGjsFiH9K9FMX.jpg,https://www.youtube.com/watch?v=hbuIeTHh4To
10,tt0082933,Possession,2400000,,21484,FR,en,Possession,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.","5,2862",https://image.tmdb.org/t/p/w600_and_h900_face/lUFZsUuJ0YyhBXH8D2BFUd6wODm.jpg,"1981-05-27 00:00:00,000",1200000,Inhuman ecstasy fulfilled.,"7,3",1245,1981,124,"Drama,Horror","7,2",53795,,,27, Horror,,,,,,,,, /nda3dTUYdDrJ6rZqBpYvY865aDv.png, Gaumont, FR,iso_3166_1, FR, France,21484,NTXB2k8ry2g,https://www.youtube.com/watch?v=NTXB2k8ry2g,21484,"[{'id': 596, 'name': 'adultery'}, {'id': 220, 'name': 'berlin, germany'}, {'id': 1299, 'name': 'monster'}, {'id': 6149, 'name': 'police'}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 74, 'name': 'germany'}, {'id': 292, 'name': 'berlin wall'}, {'id': 1523, 'name': 'obsession'}, {'id': 5340, 'name': 'investigation'}, {'id': 10292, 'name': 'gore'}, {'id': 5083, 'name': 'hysteria'}, {'id': 10508, 'name': 'teacher'}, {'id': 9826, 'name': 'murder'}, {'id': 10303, 'name': 'domestic abuse'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11925, 'name': 'domestic violence'}, {'id': 14735, 'name': 'motorcycle'}, {'id': 14991, 'name': 'tentacle'}, {'id': 17986, 'name': 'miscarriage'}, {'id': 18013, 'name': 'separation'}, {'id': 34094, 'name': 'extramarital affair'}, {'id': 41329, 'name': 'mental illness'}, {'id': 155790, 'name': 'private detective'}, {'id': 155811, 'name': 'spiral staircase'}, {'id': 161891, 'name': 'doppelgänger'}, {'id': 163129, 'name': 'dual role'}, {'id': 171848, 'name': 'marital separation'}, {'id': 189921, 'name': 'video nasty'}, {'id': 191815, 'name': 'breakdown'}, {'id': 237105, 'name': 'downward spiral'}, {'id': 312949, 'name': 'impending divorce'}, {'id': 323809, 'name': 'depressing'}, {'id': 325819, 'name': 'frustrated'}]","Après un long séjour à l'étranger, Mark retourne à Berlin pour y retrouver sa femme, Anna, et son fils Bob. Mais il réalise très vite que son épouse a changé. Il apprend notamment que celle-ci a un amant, un certain Heinrich. À cause de cela, les rapports du couple se dégradent rapidement. Mark décide alors d'engager un détective privé afin qu'il suive Anna, souvent absente du foyer. Un jour où Mark va chercher son garçon à l'école, il se rend compte que l'institutrice est le portrait craché de sa femme. Le détective, quant à lui, découvre avec effroi qu'Anna entretient une liaison avec... une « chose » monstrueuse.",,/yAVfhwRyFm7i0zuMe1lxvXwwwvU.jpg,https://image.tmdb.org/t/p/w500/yAVfhwRyFm7i0zuMe1lxvXwwwvU.jpg,https://www.youtube.com/watch?v=HQK3BOJSwyI
11,tt0082971,Indiana Jones et les Aventuriers de l'arche perdue,18000000,https://www.lucasfilm.com/productions/raiders-of-the-lost-ark/,85,US,en,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","13,5597",https://image.tmdb.org/t/p/w600_and_h900_face/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"1981-06-12 00:00:00,000",389925971,The return of the great adventure.,"7,922",13195,1981,115,"Action,Adventure","8,4",1091817,84.0, Indiana Jones Collection,12, Adventure,28.0, Action,,,,,,, /jay6WcMgagAklUt7i9Euwj1pzTF.png, Paramount Pictures, US,iso_3166_1, US, United States of America,85,Byb98ZcXxP0,https://www.youtube.com/watch?v=Byb98ZcXxP0,85,"[{'id': 1160, 'name': 'egypt'}, {'id': 1454, 'name': 'treasure'}, {'id': 1456, 'name': 'medallion'}, {'id': 11105, 'name': 'swastika'}, {'id': 83, 'name': 'saving the world'}, {'id': 485, 'name': 'nepal'}, {'id': 486, 'name': 'himalaya mountain range'}, {'id': 487, 'name': 'cairo'}, {'id': 488, 'name': 'moses'}, {'id': 2656, 'name': 'hat'}, {'id': 1294, 'name': 'whip'}, {'id': 2650, 'name': 'leather jacket'}, {'id': 2853, 'name': 'mediterranean'}, {'id': 2854, 'name': 'ark of the covenant'}, {'id': 2856, 'name': 'ten commandments'}, {'id': 2652, 'name': 'nazi'}, {'id': 9032, 'name': 'excavation'}, {'id': 483, 'name': 'riddle'}, {'id': 6956, 'name': 'treasure hunt'}, {'id': 41586, 'name': 'archaeologist'}, {'id': 175428, 'name': 'adventurer'}, {'id': 184134, 'name': 'archeology'}, {'id': 205333, 'name': 'religious history'}, {'id': 214548, 'name': '1930s'}, {'id': 311315, 'name': 'dramatic'}, {'id': 325811, 'name': 'excited'}]","L'Arche d'Alliance contenant les tables de la Loi brisées par Moïse, voici 3.000 ans, est l'objet de la convoitise des nazis. L'archéologue aventurier Indiana Jones se lance à sa recherche, poursuivi par son ennemi Belloq.",Indiana Jones - le nouveau héros des créateurs des DENTS DE LA MER et de la GUERRE DES ETOILES.,/nTsllJhHBDZndFudSB2RgeHuQAt.jpg,https://image.tmdb.org/t/p/w500/nTsllJhHBDZndFudSB2RgeHuQAt.jpg,https://www.youtube.com/watch?v=JdKKkWHx8pQ
